label,message
ham,"Hi team, the project review is scheduled for tomorrow at 10 AM and we will finalize the presentation. Please share any updates before noon."
ham,"Hello Alex, thanks for the meeting notes. I have reviewed the design and I will send the final version by evening."
ham,"Please confirm the shipping address for the order and let me know if the package has been delivered."
ham,"Dear colleague, the quarterly report is ready and we need to discuss the next steps during lunch tomorrow."
ham,"The internship application deadline has been extended. Please check the university portal for the updated instructions."
ham,"I have attached the meeting agenda for the workshop and the slide deck is available in the shared folder."
ham,"Could you review the code before the deployment window and share your feedback by 4 PM?"
ham,"Congratulations on the new role. The team is gathering for a short celebration after the sprint demo today."
ham,"We are planning a product update call next Tuesday and the client has approved the final timeline."
ham,"Good morning, I have uploaded the final invoice and the payment confirmation will be sent after verification."
spam,"URGENT! You have been selected to receive a free cash reward. Click now to claim your prize before midnight."
spam,"Win a vacation to the Bahamas! Limited time offer. Reply YES to receive a special bonus immediately."
spam,"Exclusive deal: get a free iPhone and instant cashback if you register today with no fees required."
spam,"Your account has been locked. Verify your password immediately to avoid service suspension."
spam,"Earn money from home with no investment. Send your details and start making easy cash today."
spam,"Congratulations, you are the winner of our lottery! Claim your reward by clicking the secured link."
spam,"Free entry to a prize draw. Win tickets and luxury gifts by confirming your bank details now."
spam,"Instant loan approval for everyone. Fill the form and receive quick cash in your account today."
spam,"Limited time offer! Buy premium products at half price and get a free bonus gift with every order."
spam,"Act now! To keep your account active, verify your identity and update your billing information immediately."
ham,"Please check the agenda for Friday's product planning session and send corrections before 5 PM."
ham,"I have shared the research summary with the team and posted the latest notes in the document library."
ham,"Could you confirm whether the refund has been processed and if the invoice number matches the statement?"
ham,"The customer feedback is positive and the onboarding team will reach out next week with the follow-up plan."
ham,"Hi there, the committee approved the budget and the quarterly audit will begin after the presentation."
ham,"I am forwarding the revised contract draft so you can review the legal terms before the meeting."
ham,"The training session has been rescheduled to Friday morning and attendees will receive the agenda shortly."
ham,"Thank you for your email. We are finalizing the travel arrangements and will confirm the hotel booking soon."
ham,"Please review the attached report and highlight any discrepancies before the stakeholder call."
ham,"The final release candidate is ready for QA testing and the checklist has been uploaded to the drive."
spam,"Winner alert: claim your reward now and receive a bonus gift with no hidden charges."
spam,"This is a final notice. Your account has expired and immediate action is required to restore access."
spam,"Make quick money online by joining our referral program with guaranteed returns every week."
spam,"Security warning: your payment method is expired. Update now to secure your account and avoid penalties."
spam,"Claim your free vacation package today. Submit your name and phone number to receive the offer."
spam,"You have won a premium gift card. Complete the short registration and confirm your identity to receive it."
spam,"Urgent reminder: your package is pending delivery. Confirm your address to avoid cancellation charges."
spam,"Flash sale: order now and receive complimentary shipping plus a free bonus bundle for a limited time."
spam,"We value your account. Please verify your details to keep your benefits active and avoid account closure."
spam,"Free trial for a premium service. Sign up today and receive special discounts for the first month."
ham,"I have attached the revised timeline for the engineering sprint and the milestones are now listed in order."
ham,"Please share the latest sales figures before the board review so we can prepare a short summary."
ham,"Thank you for the reminder. I have updated the budget forecast and the document is ready for approval."
ham,"The design team approved the new logo concept and the marketing campaign will launch next month."
ham,"Let’s coordinate on the customer support follow-up and ensure the issues are resolved before the close of business."
ham,"The university has published the exam schedule and we need to confirm the registration deadlines."
ham,"I have added the final notes from the seminar and the meeting minutes are available in the shared folder."
ham,"The vendor invoice has been processed and a payment confirmation will be sent once the transfer is complete."
ham,"Please review the updated hiring plan and share your comments before the leadership meeting."
ham,"We have completed the migration checklist and the system is stable after the latest deployment."
